epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6093.6,1.97774,1.72685,0.86127,0.44845,0.24522,0.20937,0.12879,1.79532,1.58571,0.85287,0.000370293,0.000370293,0.000370293
2,12042,1.97378,1.72868,0.86604,0.47271,0.26018,0.22773,0.14494,1.76514,1.50597,0.85169,0.000648974,0.000648974,0.000648974
3,17917.5,1.96939,1.71168,0.86316,0.45787,0.26446,0.23911,0.15278,1.70878,1.44635,0.84562,0.000835997,0.000835997,0.000835997
4,23866.2,1.93151,1.66178,0.85597,0.49065,0.28287,0.25551,0.16462,1.66993,1.39567,0.83876,0.000698541,0.000698541,0.000698541
5,29772.1,1.87364,1.60671,0.84771,0.54131,0.28095,0.26556,0.17254,1.63069,1.36269,0.83301,0.000561055,0.000561055,0.000561055
6,35753.2,1.83097,1.54279,0.84,0.51478,0.29056,0.27623,0.17975,1.6002,1.32722,0.82788,0.000423569,0.000423569,0.000423569
7,41684.6,1.7779,1.4945,0.83369,0.49203,0.30815,0.28547,0.18765,1.57312,1.29787,0.82466,0.000286083,0.000286083,0.000286083
8,47577.6,1.72586,1.44529,0.83096,0.51116,0.31469,0.29163,0.19226,1.55303,1.28171,0.82193,0.000148596,0.000148596,0.000148596
