epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1616.51,2.26844,3.25625,0.94853,0.42403,0.15853,0.13474,0.07378,2.21867,2.3277,0.90325,0.000370185,0.000370185,0.000370185
2,3121.77,2.19737,2.17489,0.91119,0.41134,0.20654,0.18255,0.10812,2.12846,2.0618,0.89626,0.000618333,0.000618333,0.000618333
3,4632.15,2.14451,1.97812,0.9066,0.42283,0.23247,0.19787,0.12069,2.01561,1.87456,0.87335,0.000744271,0.000744271,0.000744271
4,6152.08,2.07268,1.86594,0.88949,0.46776,0.2456,0.23609,0.15079,2.06736,1.7764,0.8773,0.000561055,0.000561055,0.000561055
5,7677.73,2.01408,1.75398,0.87358,0.54583,0.24984,0.24588,0.15332,1.98649,1.73798,0.86359,0.00037774,0.00037774,0.00037774
6,9207.03,1.95081,1.71191,0.86079,0.53713,0.27312,0.26265,0.16804,1.91666,1.65864,0.84834,0.000194425,0.000194425,0.000194425
